Bus ID,Bus Name,Bus Voltage (kV),Descriptive Powerflow Case,Sensitivity Case,Interconnection Type,Bus Interconnection Capacity (MW),Constraint Headroom (MW),Base Flow (MVA),Constraint Base Flow (MW),Number of Upgrades Assumed (Upgrades),Primary Limiting Constraint,Shift Factor (Number),Risk Level,Latitude (Degrees),Longitude (Degrees),County,ISO,State,Owner,Case Last Updated,Constraint Area,Constraint Type,Existing Overload Flag,Constraint AC Loading Ratio (Percentage),Constraint Voltage,Contingency Event,Contingency Event Facility,Contingency Name,Generator Modeling Assumptions,Interconnection Scenario,Study Year,Transmission Modeling Assumptions
ISO-NE_117301,KENT COUNTY,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2564.41,2077.0,94.0,95.0,0,117001 WEST FARNUM   345  117301 KENT COUNTY   345  2,-0.81,High Risk Upgrade,41.68314,-71.479319,Kent,ISO-NE,RI,RI_RIE,2026-06-27,ISO-NE,Branch,False,8.31,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 117001 WEST FARNUM   345  117301 KENT COUNTY   345  1  
[101] 117301 KENT COUNTY   345  117332 KENT COUNTY   115  3",BF_KNTC_332,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_119051,LAKE ROAD,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2440.96,1259.0,150.0,-153.0,0,117000 SHERMAN ROAD  345  119025 ES_347_RIE    345  1,0.52,High Risk Upgrade,41.874754,-71.895937,Windham,ISO-NE,CT,CT_CL&P,2026-06-27,ISO-NE,Branch,False,22.19,345,"BRANCH_OPEN 
BRANCH_TOISL","[101] 119012 ES_341_RIE    345  119051 LAKE ROAD     345  1  
[101] 117001 WEST FARNUM   345  119012 ES_341_RIE    345  1",LN_341,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_117001,WEST FARNUM,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,4555.44,1228.0,778.0,-800.0,0,110773 NEA 336 TAP   345  110785 ANP BLACKSTN  345  1,0.27,High Risk Upgrade,41.969476,-71.539159,Providence,ISO-NE,RI,RI_RIE,2026-06-27,ISO-NE,Branch,False,41.93,345,"BRANCH_OPEN 
BRANCH_TOISL 
BRANCH_OPEN","[101] 113264 MILLBURY      345  117299 RIE_366_NGR   345  1  
[101] 117001 WEST FARNUM   345  117299 RIE_366_NGR   345  1  
[101] 117001 WEST FARNUM   345  117037 W FARNUM 75T  115  2",BF_WFARN_5-6,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_110757,LEXINGTON,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,1352.94,1195.0,239.0,246.0,0,110756 WOBURN        345  110757 LEXINGTON     345  1,-0.88,High Risk Upgrade,42.445215,-71.266381,Middlesex,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,25.0,345,,,Base Case,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_111800,LEXINGTON_R,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,1195.0,239.0,246.0,0,110756 WOBURN        345  110757 LEXINGTON     345  1,-0.88,High Risk Upgrade,42.445215,-71.266381,Middlesex,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,25.0,345,,,Base Case,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_113951,TEWKSBURY,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2914.95,1144.0,602.0,618.0,0,113951 TEWKSBURY     345  115010 NGR_338_NST   345  1,0.39,High Risk Upgrade,42.622858,-71.242334,Middlesex,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,40.36,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 113950 SANDY POND    345  113951 TEWKSBURY     345  1  
[101] 113951 TEWKSBURY     345  114476 WAKEFLD JCT   345  1",BF_TWKS_7-39,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_113951,TEWKSBURY,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2914.95,1144.0,602.0,618.0,0,113951 TEWKSBURY     345  115010 NGR_338_NST   345  1,0.39,High Risk Upgrade,42.622858,-71.242334,Middlesex,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,40.36,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 113950 SANDY POND    345  113951 TEWKSBURY     345  1  
[101] 113951 TEWKSBURY     345  114476 WAKEFLD JCT   345  1",BF_TWKS_7-39,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_114089,TWKS-STAT,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,199.0,1144.0,602.0,618.0,0,113951 TEWKSBURY     345  115010 NGR_338_NST   345  1,0.39,High Risk Upgrade,42.627858,-71.237334,Middlesex,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,40.36,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 113950 SANDY POND    345  113951 TEWKSBURY     345  1  
[101] 113951 TEWKSBURY     345  114476 WAKEFLD JCT   345  1",BF_TWKS_7-39,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_114089,TWKS-STAT,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,199.0,1144.0,602.0,618.0,0,113951 TEWKSBURY     345  115010 NGR_338_NST   345  1,0.39,High Risk Upgrade,42.627858,-71.237334,Middlesex,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,40.36,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 113950 SANDY POND    345  113951 TEWKSBURY     345  1  
[101] 113951 TEWKSBURY     345  114476 WAKEFLD JCT   345  1",BF_TWKS_7-39,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100007,RAVEN FARM,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,1175.04,1130.0,89.0,88.0,0,100007 RAVEN FARM    345  100087 SUROWIEC      345  1,0.96,High Risk Upgrade,43.779889,-70.205569,Cumberland,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,34.55,345,BRANCH_OPEN,[101] 100007 RAVEN FARM    345  100089 SOUTH GORHAM  345  1,LN_3040,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
