Substation Name,Min Voltage (kV),Max Voltage (kV),Substation Owner,Substation Status,Type,Latitude (Degrees),Longitude (Degrees),County,Owner Source,State,Substation ID
Summitav,230.0,230.0,Orange and Rockland Utilities,In Service,Substation,41.055045,-74.055982,Bergen,Estimated,NJ,or:electric_substation:10002
Massena,230.0,765.0,NOT AVAILABLE,In Service,Substation,44.919227,-74.833796,St. Lawrence,Not Available,NY,or:electric_substation:10015
Cloversville,69.0,69.0,National Grid,In Service,Substation,43.061809,-74.344397,Fulton,Estimated,NY,or:electric_substation:10022
West Danville 15,35.0,35.0,Green Mountain Power Corp,In Service,Substation,44.404938,-72.188246,Caledonia,Openinfra,VT,or:electric_substation:10037
Unknown156706,,,NOT AVAILABLE,In Service,Substation,40.982882,-74.118645,Bergen,Not Available,NJ,or:electric_substation:10043
Moira,34.0,34.0,National Grid,In Service,Substation,44.824196,-74.538884,Franklin,Openinfra,NY,or:electric_substation:10057
Wehrle,,,NOT AVAILABLE,In Service,Substation,42.957587,-78.673335,Erie,Not Available,NY,or:electric_substation:10066
Ld.Buddngtn33.0,115.0,115.0,NOT AVAILABLE,In Service,Substation,41.368582,-72.046858,New London,Not Available,CT,or:electric_substation:10085
Nicholville,34.0,35.0,National Grid,In Service,Substation,44.696325,-74.64418,St. Lawrence,Openinfra,NY,or:electric_substation:10098
Wrightsville Hydro Plant,,,NOT AVAILABLE,In Service,Substation,44.308546,-72.576204,Washington,Not Available,VT,or:electric_substation:10099
Tap135957,69.0,69.0,NOT AVAILABLE,In Service,Tap,41.244284,-74.291736,Orange,Not Available,NY,or:electric_substation:10105
Raintree,115.0,115.0,Met-Ed,In Service,Tap,40.029618,-76.764997,York,Openinfra,PA,or:electric_substation:10124
Unknown156708,,,NOT AVAILABLE,In Service,Substation,40.479798,-79.382208,Indiana,Not Available,PA,or:electric_substation:10126
71 S. Newfane,,,National Grid,In Service,Substation,43.231805,-78.681076,Niagara,Openinfra,NY,or:electric_substation:10148
Unknown156709,,,Jersey Central Power & Lt Co,In Service,Substation,40.290977,-74.07924,Monmouth,Estimated,NJ,or:electric_substation:10167
Moore,115.0,230.0,National Grid,In Service,Substation,44.335914,-71.874969,Grafton,Estimated,NH,or:electric_substation:10168
Hunt,69.0,69.0,NOT AVAILABLE,In Service,Substation,41.24695,-74.295041,Orange,Not Available,NY,or:electric_substation:10187
Zions View,115.0,115.0,NOT AVAILABLE,In Service,Tap,40.060054,-76.746848,York,Not Available,PA,or:electric_substation:10206
Telegraph Rd,,,NOT AVAILABLE,In Service,Substation,43.206851,-78.577276,Niagara,Not Available,NY,or:electric_substation:10217
Waterford,,,NOT AVAILABLE,In Service,Substation,44.343235,-71.931136,Caledonia,Not Available,VT,or:electric_substation:10222
Wisner,69.0,69.0,Orange and Rockland Utilities,In Service,Substation,41.272926,-74.323401,Orange,Estimated,NY,or:electric_substation:10267
Barnet Hydro,35.0,35.0,Green Mountain Power Corp,In Service,Substation,44.300087,-72.064256,Caledonia,Openinfra,VT,or:electric_substation:10293
Somerset,,,NOT AVAILABLE,In Service,Substation,43.337592,-78.552753,Niagara,Not Available,NY,or:electric_substation:10299
Mayfield Station 356,,,NOT AVAILABLE,In Service,Substation,43.104519,-74.26498,Fulton,Not Available,NY,or:electric_substation:10352
Tap141095,69.0,69.0,NOT AVAILABLE,In Service,Tap,40.001715,-76.071352,Lancaster,Not Available,PA,or:electric_substation:10357
Wec 4,35.0,35.0,Washington Electric Coop,In Service,Substation,44.167404,-72.304248,Orange,Openinfra,VT,or:electric_substation:10360
Harrison,,,NYSEG,In Service,Substation,43.178526,-78.678935,Niagara,Openinfra,NY,or:electric_substation:10368
Perkiomen,138.0,230.0,PECO Energy Co,In Service,Substation,40.214787,-75.451961,Montgomery,Estimated,PA,or:electric_substation:10387
Betzwood,230.0,230.0,PECO Energy Co,In Service,Substation,40.1147,-75.42017,Montgomery,Estimated,PA,or:electric_substation:10422
